@RELATION knndiffparam
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {amlo,not_amlo,music}

@DATA
0.033718,0.009462,2.971814,0.076748,0.125449,0.152374,0.009992,0.046925,-26.265863,2.189833,-0.669062,0.231579,-0.160824,-0.089554,-0.135236,0.130795,0.008797,0.046471,-0.125707,-0.018218,-0.056782,0.014132,0.012267,0.058473,0.014186,0.017123,0.010873,0.025716,0.003551,0.011387,0.010443,0.024784,0.007481,0.022174,0.013667,0.012627,0.289470,0.023000,0.035664,0.128382,0.010448,0.022380,2.628646,0.830923,0.436840,0.414192,0.294402,0.276967,0.227047,0.251485,0.193225,0.214942,0.206341,0.191239,0.174577,0.012712,0.014966,0.034808,0.010915,0.015212,0.010805,0.022974,0.004243,0.013335,0.009344,0.017690,0.009243,0.010023,amlo
0.049308,0.019430,3.133362,0.095337,0.130324,0.375165,0.006596,0.083258,-23.522323,1.582376,-0.484622,-0.180535,-0.412357,-0.103052,-0.216299,0.112350,-0.075247,0.013472,-0.109584,-0.106047,-0.054416,0.017250,0.015013,0.020782,0.018267,0.013973,0.012528,0.009944,0.004246,0.009170,0.013917,0.017823,0.009133,0.015166,0.025695,0.018232,0.195504,0.027271,0.028443,0.318370,0.002789,0.046805,0.923527,0.551949,0.466125,0.448080,0.269622,0.263315,0.237598,0.276301,0.205764,0.179920,0.207575,0.216170,0.245657,0.018025,0.020664,0.023734,0.020087,0.012941,0.013333,0.008224,0.004811,0.008445,0.013369,0.013765,0.010359,0.008934,amlo
0.039408,0.010688,3.016956,0.080456,0.122852,0.261860,0.008042,0.059600,-25.799565,2.099915,-0.579798,-0.218985,-0.157612,-0.133174,-0.163211,0.010135,-0.009593,-0.009977,-0.205548,-0.083314,-0.085251,0.017868,0.010556,0.022768,0.018340,0.021025,0.018398,0.017364,0.003101,0.009697,0.016721,0.021439,0.009421,0.014105,0.018583,0.012552,0.277033,0.025388,0.033181,0.254552,0.003763,0.036764,1.328841,0.742610,0.483481,0.404357,0.280623,0.262601,0.255094,0.233908,0.218721,0.200599,0.211039,0.211163,0.210460,0.013720,0.012513,0.018665,0.015379,0.013784,0.017114,0.012354,0.002872,0.007409,0.011590,0.015677,0.007938,0.005521,amlo
0.030017,0.026272,3.100560,0.080116,0.135738,0.126718,0.008198,0.048267,-23.478129,2.130078,-0.701704,0.355845,0.094814,0.249739,0.020866,0.163391,0.118885,0.016512,-0.062821,0.107535,-0.002897,0.018745,0.006254,0.030940,0.012998,0.034501,0.012458,0.029326,0.004899,0.007445,0.016210,0.021302,0.009699,0.019572,0.010203,0.026908,0.198999,0.021059,0.033600,0.124736,0.004264,0.018484,1.188522,0.498405,0.416938,0.541716,0.316694,0.318247,0.236364,0.315699,0.206384,0.222909,0.194389,0.200003,0.209740,0.020585,0.006726,0.023081,0.011485,0.025866,0.015542,0.021443,0.008358,0.008695,0.016608,0.016737,0.012399,0.007230,amlo
0.032201,0.013874,2.775258,0.079256,0.132803,0.151016,0.010603,0.047108,-25.565190,2.774562,-0.365787,-0.089313,-0.469458,-0.033184,-0.189205,0.084236,-0.020124,-0.009718,-0.050658,-0.099429,-0.105650,0.020892,0.012418,0.026349,0.017915,0.020495,0.014695,0.023415,0.004713,0.014601,0.017388,0.022515,0.012480,0.015430,0.016778,0.014851,0.375677,0.029705,0.036322,0.168152,0.004434,0.028434,2.110561,0.781549,0.592347,0.399147,0.409601,0.354392,0.270603,0.261356,0.208874,0.205864,0.192920,0.237490,0.197332,0.016787,0.014576,0.019281,0.013531,0.013536,0.013130,0.014674,0.007430,0.016310,0.013791,0.015495,0.014208,0.006324,amlo
0.045907,0.013728,3.136834,0.087211,0.136608,0.244744,0.007719,0.065933,-24.927554,1.736059,-0.676115,-0.129696,-0.345832,0.013463,-0.130974,0.226191,0.005032,-0.004701,-0.128231,0.035967,-0.133368,0.019722,0.021491,0.015436,0.009765,0.013742,0.012196,0.015829,0.005616,0.012395,0.014973,0.013835,0.013004,0.017172,0.015716,0.019213,0.195959,0.020322,0.030848,0.178936,0.004143,0.023072,1.363779,0.510222,0.591057,0.550011,0.261690,0.325707,0.214252,0.306360,0.239170,0.227547,0.195116,0.222479,0.183027,0.022655,0.019650,0.011283,0.008640,0.014079,0.013389,0.018264,0.008565,0.016516,0.013033,0.014888,0.015247,0.008400,amlo
0.029782,0.013515,3.018490,0.113594,0.174636,0.185031,0.022806,0.040290,-28.219119,2.151974,0.450855,0.674066,0.012948,0.505830,-0.096202,0.105022,0.221044,0.044502,-0.021796,0.051907,-0.079873,0.013054,0.003217,0.061779,0.005948,0.013428,0.003281,0.091832,0.000794,0.003566,0.013837,0.087539,0.004866,0.048557,0.026279,0.013672,0.240355,0.036917,0.029462,0.223548,0.048528,0.048089,2.604368,0.538689,0.510334,0.461927,0.460136,0.388540,0.382879,0.267232,0.320616,0.217330,0.307253,0.268303,0.267357,0.022153,0.005109,0.059675,0.012055,0.013706,0.005491,0.081077,0.001508,0.006343,0.018186,0.057953,0.010108,0.018967,amlo
0.037564,0.011796,3.081409,0.112353,0.162700,0.277685,0.014085,0.056252,-27.411649,2.401241,0.631234,0.263931,-0.180475,0.317932,-0.163974,0.241816,0.123709,0.081362,0.110765,0.015501,-0.014377,0.015898,0.007910,0.049363,0.008607,0.012106,0.008772,0.050978,0.000808,0.009472,0.026913,0.045528,0.007713,0.034031,0.029939,0.014736,0.215524,0.037913,0.026214,0.306800,0.008723,0.056410,2.650370,0.621961,0.663340,0.644852,0.539801,0.359131,0.373838,0.303003,0.240806,0.226165,0.237903,0.268902,0.223644,0.027073,0.017846,0.045721,0.018433,0.011902,0.016156,0.054168,0.001554,0.015741,0.027653,0.045227,0.013288,0.014630,amlo
0.038380,0.004634,3.099010,0.119694,0.169923,0.289123,0.016138,0.054083,-28.288290,2.532868,0.687829,0.446697,-0.155447,0.327736,-0.002300,0.215150,0.167208,-0.000524,0.154672,0.098793,0.026024,0.009127,0.003836,0.038293,0.009384,0.011924,0.008402,0.056341,0.000479,0.011180,0.025615,0.077564,0.003970,0.036327,0.029895,0.005266,0.164380,0.041463,0.028965,0.311123,0.011373,0.060097,2.062612,0.743325,0.683614,0.492064,0.563250,0.350620,0.319511,0.322488,0.270089,0.257681,0.256312,0.238521,0.228498,0.012152,0.007211,0.037451,0.021410,0.012883,0.016436,0.052297,0.001025,0.020462,0.029443,0.051324,0.007856,0.016776,amlo
0.036611,0.010940,3.042155,0.116648,0.171602,0.260238,0.012979,0.052904,-27.463537,2.454655,0.432668,0.562192,0.121193,0.069566,-0.063269,0.288223,-0.060685,0.169545,0.169932,0.046737,0.118913,0.009848,0.004447,0.047740,0.005440,0.017569,0.007689,0.065071,0.000916,0.009849,0.027897,0.054167,0.008509,0.035254,0.035701,0.015212,0.252625,0.042017,0.033003,0.370392,0.007839,0.071885,2.600247,0.763900,0.758550,0.724239,0.400897,0.322064,0.310843,0.341546,0.249251,0.189842,0.205523,0.223880,0.177669,0.015883,0.011136,0.047289,0.008428,0.017415,0.010555,0.058635,0.001437,0.017151,0.032697,0.043993,0.019070,0.015733,amlo
